Ticker,Sector
ASTRAL.NS,Industrials
JPASSOCIAT.NS,Industrials
ASAHIINDIA-EQ.NS,NO
HRGESSRD1-MF.NS,NO
IDR1AGD-MF.NS,NO
INFRABEES.NS,NO
MC6RD-MF.NS,NO
KOTAKNIFTY-EQ.NS,NO
ASAHISONG.NS,Basic Materials
ASHIANA.NS,Real Estate
SMCSRVRG-MF.NS,NO
SMCSRVIRG-MF.NS,NO
SHRIASTER-EQ.NS,NO
SC3RG-MF.NS,NO
ASIANHOTNR-EQ.NS,NO
ASHIMASYN.NS,Consumer Cyclical
ASHIMASYN-EQ.NS,NO
IDR1ADP-MF.NS,NO
ASIANTILES.NS,Industrials
ASTEC-EQ.NS,NO
BSLFTPLLRG-MF.NS,NO
SHRIASTER.NS,NO
ASAHISONG-BE.NS,NO
549-MF.NS,NO
ASAHIINDIA.NS,Consumer Cyclical
BSLRGES1RG-MF.NS,NO
ASHOKA.NS,Industrials
ATUL.NS,Basic Materials
ATULAUTO-EQ.NS,NO
ATNINTER-EQ.NS,NO
ATLASCYCLE.NS,Consumer Cyclical
ATNINTER.NS,Financial Services
ATULAUTO.NS,Consumer Cyclical
ATLANTA.NS,Industrials
ATNINTER-BE.NS,NO
BAJAJ-AUTO.NS,Consumer Cyclical
MUNJALAU.NS,Consumer Cyclical
AUTOLITIND.NS,Consumer Cyclical
CLUTCHAUTO-EQ.NS,NO
AUSOMENT-BE.NS,NO
PPAP.NS,Consumer Cyclical
LUMAXTECH.NS,Consumer Cyclical
AURIONPRO-EQ.NS,NO
INDIGO.NS,Industrials
AVTNPL.NS,Basic Materials
AVANTIFEED-EQ.NS,NO
AVANTIFEED.NS,Consumer Defensive
AVTNPL-EQ.NS,NO
INDIGO-EQ.NS,NO
AXISBANK.NS,Financial Services
AXISBANK-IL.NS,NO
AXISCADES.NS,Industrials
AXISCADES-EQ.NS,NO
AXISGOLD.NS,NO
AUTOAXLES.NS,Consumer Cyclical
AYMSYNTEX.NS,Consumer Cyclical
ICICIBANK.NS,Financial Services
CANBK.NS,Financial Services
BALLARPUR.NS,Basic Materials
INDIANB.NS,Financial Services
IDFCBANK.NS,NO
HDFCBANK.NS,Financial Services
INDUSINDBK-EQ.NS,NO
BASF.NS,Basic Materials
BAJAJCORP.NS,NO
BAGFILMS.NS,Communication Services
BAFNAPHARM.NS,NO
BAJAJFINS.NS,NO
BANKBEES.NS,NO
PSB-EQ.NS,NO
BAJAJ-AUTO-EQ.NS,NO
PSUBNKBEES.NS,NO
ORIENTBANK.NS,NO
BAJFINANCE.NS,Financial Services
BVCL-EQ.NS,NO
BBL.NS,Industrials
BBTC-EQ.NS,NO
BBL-EQ.NS,NO
BBTC.NS,Consumer Defensive
BDR-IT.NS,NO
BDR.NS,NO
BDR-EQ.NS,NO
BEML.NS,Industrials
MANPASAND.NS,Consumer Defensive
PSUBNKBEES-EQ.NS,NO
FAGBEARING.NS,NO
